    ,store ,type  ,department ,      date  ,weekly_sales  ,is_holiday  ,temperature_c  ,fuel_price_usd_per_l  ,unemployment
5,1,   A  ,1,2010-07-02,16333.14,     False  ,27.172,0.705,7.787
0,1,   A  ,1,2010-02-05,24924.50,     False  ,5.728,0.679,8.106
4,1,   A  ,1,2010-06-04,17558.09,     False  ,27.050,0.715,7.808
9,1,   A  ,1,2010-11-05,34238.88,     False  ,14.856,0.710,7.838
8,1,   A  ,1,2010-10-01,20094.19,     False  ,22.161,0.688,7.838
7,1,   A  ,1,2010-09-03,16241.78,     False  ,27.339,0.681,7.787
10,1,   A  ,1,2010-12-03,22517.56,     False  ,9.594,0.715,7.838
3,1,   A  ,1,2010-05-07,17413.94,     False  ,22.528,0.749,7.808
1,1,   A  ,1,2010-03-05,21827.90,     False  ,8.056,0.693,8.106
6,1,   A  ,1,2010-08-06,17508.41,     False  ,30.644,0.694,7.787
11,1,   A  ,1,2011-01-07,15984.24,     False  ,9.039,0.786,7.742
2,1,   A  ,1,2010-04-02,57258.43,     False  ,16.817,0.718,7.808
