id set  x     y
1   1   1 10  8.04
2   1   2 10  9.14
3   1   3 10  7.46
4   1   4  8  6.58
5   2   1  8  6.95
6   2   2  8  8.14
7   2   3  8  6.77
8   2   4  8  5.76
9   3   1 13  7.58
10  3   2 13  8.74
11  3   3 13 12.74
12  3   4  8  7.71
13  4   1  9  8.81
14  4   2  9  8.77
15  4   3  9  7.11
16  4   4  8  8.84
17  5   1 11  8.33
18  5   2 11  9.26
19  5   3 11  7.81
20  5   4  8  8.47
21  6   1 14  9.96
22  6   2 14  8.10
23  6   3 14  8.84
24  6   4  8  7.04
25  7   1  6  7.24
26  7   2  6  6.13
27  7   3  6  6.08
28  7   4  8  5.25
29  8   1  4  4.26
30  8   2  4  3.10
31  8   3  4  5.39
32  8   4 19 12.50
33  9   1 12 10.84
34  9   2 12  9.13
35  9   3 12  8.15
36  9   4  8  5.56
37 10   1  7  4.82
38 10   2  7  7.26
39 10   3  7  6.42
40 10   4  8  7.91
41 11   1  5  5.68
42 11   2  5  4.74
43 11   3  5  5.73
44 11   4  8  6.89
